PropertyName,link,rating,review,date,reviewer
The U-Davis,https://www.yelp.com/biz/the-u-apartments-davis,3.0,"UPDATE: 1 star rating to a 3.5 star rating

In my previous update I stated how badly things went with my heating system, move-in day was dreadful, bug/ rodent issues on the first floor, slightly slanted construction, and some errors with roommate preferences. 

Due to how horrible my previous rating was, I was contacted by a regional employee (Jasmine you're the sweetest!) who discussed all the issues I faced while living at the U. After a nice conversation, I had a small change of heart of how I felt about the U and here's why:
-I had some issues about resident referrals but they were all approved (this approval occurred before I received the referrals but it was a small battle I was facing and thought it wasn't going to get approved so I didn't mention it), the fact that an employee personally called me to apologize for the circumstances I faced plus we both had an adult conversation (trust me I've had people call me just to lecture me instead of actually resolving issues), and because I've been getting to know the leasing office employees more and they are helping me understand their standpoints of how difficult it can be to run an entire apartment complex.

-I still stand by the maintenance being a little off at times but they have gotten better. 
-Another thing i couldn't mention before was the garbage situation, every single weekend there is a huge line of trash near the trash compactor which I believe is due to the fact that you need to use a heavy pole to push the trash in since it makes holes in the trash bags and trash can't be pushed in further. I think a flat bottom would be an easy fix to the trash issue so that the second maintenance man doesn't have to deal with other people's mess.
-For amenities, the U was pretty helpful my first quarter with the free printing situation, however there is no color printing and sometimes computers (especially the Macs) will stop working
-I've been using the gym more often and noticed that all the equipment is nice, however the TV's for the treadmills don't have many channels but I just watch YouTube videos on my phone anyways. And also I have not heard about any accidents happening in there.
-Parking situation sucks sometimes (plus I've had people park in my parking spot EVEN THOUGH I paid for my parking spot every month) but there are guest parking spots now and you can park in ""Future resident"" or ""employee"" parking at certain hours of the evening/night. 
-Walls are thin at this apartment complex to where I can hear people talking/walking in the hallways if I'm sitting in the living room
-Big bonus when The U hosts events where you can win King's tickets and get free food but honestly I really think The U should focus more on other things like how residents actually feel about the complex and can give an anonymous suggestion/complaint. 
-Location wise, it's pretty far from campus. Tried walking to downtown and that took about 20 minutes then another 15 minutes from downtown to campus. Bus line is about a 7-10 minute walk depending on what cars let you cross the roundabout, sometimes they might run you over so look both ways! then the bus ride is about 20 minutes to campus. Driving is about 9 minutes to the MU and 14 minutes to Silo or the West Entry parking structure.
-Pet deposit is a little high and there is a $25 monthly fee but there are doggy bags outside to compensate kind of? 
-Mail is a little of a disaster because you'll get a BUNCH of mail from previous residents (I've gotten random Journey's packages or packages from Korean beauty shops) and it's a little bit of a pain having to bring it to the office for mail that really isn't mine but The U is really nice about having your packages handled depending on the carrier (sometimes packages will be outside your door so be careful of theft!)
- Again the bedding sizes are QUEEN not full, so don't even try to fit a tiny sheet on these huge beds.
-Laundry is included in the apartment but it can be a little too loud 

There's still more room for improvement at The U and I would highly suggest the U to implement a suggestion box or survey with some kind of raffle for all residents on how they can better their apartment complex. 

And again one star for Kyle (remembered my full name and apartment number), one for Jasmine (for taking time out of her day to talk about issues with me), and one and a half star for the beauty in this apartment (seriously everything is renovated so not that many dings in furniture just yet.)

I'd rent here again if the prices were rising and if it wasn't so far from campus.",2017-01-25,Faith C.
The U-Davis,https://www.yelp.com/biz/the-u-apartments-davis,2.0,"Last year I lived at the U, and I say if you can afford it it's an ok place to live. I think a lot of their criticism comes of the management mostly.

The major upside to all this is the amenities. I signed onto a furnished apartment which included the major appliances (dishwasher, in-unit washer/dryer) and living room/bedroom furniture. The clubhouse has 24-hour access (printing room, gym, 2 study rooms) and during office hours they have a game room. It's worth paying if you actually utilize all the amenities. 

Another upside is the individual leases. You were only held liable for your portion so if for some reason a roommate couldn't make rent it's not your problem. Utilities were included, you just split PG&E between your roommates. I think they actually added a ""city fee"" for water so that is another additional cost. 

Now the many downsides. At the beginning when I moved in management really sucked. They matched one roommate who had a cat but another was allergic. We messaged management a couple weeks before move-in but they didn't offer to move the girl or any other alternatives. Total violation of their own lease agreement under the pet addendum if the pet was a health hazard.

Another problem when my roommates and I signed our leases during the summer we were told that construction would be done by the time we moved in. Construction/renovations lasted for the next 11 months of my 12 month lease, starting at 8am-5pm.

The location of the apartment is about 2 miles away from campus, its close to Target and a 24-hour Safeway which are both just a couple minutes drive. It is also next to 2nd St which the train runs along quite often. Sometimes you get used to it but other times the screeching of the wheels on the track really gets to you.

The bus stop is about a 3-5 minute walk and it's about 10-15 minutes by the A or Z line to the Silo/MU. It's not that bad of a ride but 
if a train passes by AmTrak the bus will get stuck and have to wait.

There is close to no guest parking, they only have guest parking spots during non-business hours, 5 spots in front of the clubhouse but if you park there during office hours they will tow you! Parking spots range from $20-40 a month and they are all assigned. No street parking, the closet you can get is at the Goodyear about 0.5 miles away. If someone happens to park in your spot you can tow them but the towing company that complex uses is located in Dixon. If they pick up the phone, it takes them a while to come to Davis, and the person who parked in your spot could of already left.

My apartment was facing the inside of the complex/pool which was nice at times. Though at night people might be having a small gathering, either at the gazebos, fire pit or volleyball court and it can get pretty loud. It's funny because sometimes people can think going to the pool is private (even at night), but just beware, the people with apartments facing inside can see everything, ya nastys, no wonder the jacuzzi turns green at least once a week.

Also something gross and unprofessional that happened during the summer, the last months of my lease, was an employee. I was walking down the stairs to the clubhouse I see a figure in sweeping in the hallway. The person called me to come over in the obvious cat-calling manner. I simply waved and said hi from the stairway but kept walking down and could hear him mumbling words under his breath. It was only later that I looked out my balcony to find out that this person was a new hire for the complex. Super unprofessional at their place of employment and I was really put off by that situation.

After moving, two of the girl that I currently live with were roommates that I had at the U and none of us happened to get our security deposit checks mailed to us after 3 months. We finally contacted them and turns out they didn't bother to put our apartment number in our forwarding address. The fact that they messed up the forwarding address on three separate occasions is beyond me. It took a week but we were finally able to get it sorted out and mailed to us correctly.

Lastly, I can't imagine what their resident retention rate is but their employee retention is horrible. Not one employee works there from when I moved in! From the associates, manager and accountant not one stayed. Though when I was moving out the new set of associates and manager seemed nice and adequate enough. 

If you were to take away anything from this long critique is that though the U is nice, it's just essentially a slightly cheaper version of West Village. They've raised rent so you're looking at low to mid $800s for a single room. Plus they're way further from campus then West Village so much as well shell out a couple hundred extra if you can afford it. Though it is nice that it is furnished making moving in and out a little easier, with all the downsides there are a lot of other apartments in Davis that you can find without these problems and at a way cheaper price.",2016-11-21,Victoria C.
The U-Davis,https://www.yelp.com/biz/the-u-apartments-davis,1.0,"I wish I could give zero stars but I can't, ignore the only star there, they don't deserve it. 
The first day check in was horrible. I was stay in line at least 3 hours before I got my key. It was horribly slow. However all those things are acceptable because even they should try to arrange everything so that residents should not need to stand there for so long. 
However, one thing that I can't accept is that window in my room is very small, roughly half size of my Roomate""s and we pay the same money for rent. The view of window is blocked mostly left and right by walls, so the view I can see is very small and dark. But my Roomate""s room looks very bright, and this is not like only one time, it""s about 12 month. But when I talk to them about my situation, they are not even trying to do anything but saying that they can't do anything about it. But they didn't let me know how big the difference before I decide to move in. That""s a fraud! Seriously, don't regret before you moved in, because then you are not going to be treated before you signed the contract. 
Remember you had a choice, don't be regret!!",2016-09-18,Xinyue L.
The U-Davis,https://www.yelp.com/biz/the-u-apartments-davis,1.0,"Save yourself a lot of stress and STAY AWAY. 

The overall look of this place is great, but it doesn't make up for everything that is wrong with it....
First and foremost, the new staff IS TERRIBLE. (Bring the old staff back!!) The new management doesn't care about you. They are inconsiderate and make soooooo many mistakes. AND if they make a mistake they'll say the same lame-a** excuse.. ""Whichever employee told you ____ didn't know what they were talking about."" 

GUEST PARKING IS NONEXISTENT. You'll never have anyone over and if you try, you'll probably get towed. Even if someone takes your spot and you have to park somewhere else. They will lie to you in the beginning and guarantee to you that there is. 2ND street is a 15-20 minute walk; it is not close. BTW, $35/month for parking on top of your expensive rent.

The cheapest single room is $850+; Just go live at the rambles and be super close to school.  

The study pods consist of literally 2 tables. 

The A and Z buses are not always that reliable. (Occasionally, it doesn't even come at the time said on Unitrans). This is supppper inconvenient when the buses come every 30 minutes.  

Construction started at 7AM during finals weeks. So imagine staying up till 5AM and trying to sleep. Even that its summer, they continue to start whenever they want. Again, management doesn't care about the residence. 

I know this isn't necessary, but there is no appreciation to residents like other apartments. DESPITE PAYING SO MUCH, there is never any ""Free scantrons + Donuts"" day anymore. The old staff used to do this, but after months with the new staff- nothing. 

PS. THEY MADE A MISTAKE ON MY BILLING and threatened to evict me, without even acknowledging that it was THEIR MISTAKE. 

Overall, yeah this place looks nice, but wow is everything else so sh*tty.

Was this review ...?",2016-07-12,Linda T.
The U-Davis,https://www.yelp.com/biz/the-u-apartments-davis,1.0,"I applied for an apartment here. I left my $150 deposit and later on, my application got denied due to income restrictions. I'm supposed to get that $150 refunded - I've contacted The U five times now. Each time I get a ""Oh, I don't know why that got mixed up. I'm sorry. I'll correct that and we'll get your check in the mail.""
That was about six months ago. I've contacted them again via email with no response. HORRIBLE company and I advise everyone to stay away.",2016-03-14,Aaron B.
The U-Davis,https://www.yelp.com/biz/the-u-apartments-davis,1.0,"Check my profile. I do not give 1 star reviews. I AM A GRACIOUS YELPER, Y'ALL. So if I am rating this place 1 star, you better bet this place sucks. I'm feeling vindictive right now so I'm gonna share it on my facebook too. Good luck getting people to lease.

I started out LOVING The U. The grounds are gorgeous, the rooms are spacious and the amenities (24/7 gym, free printing, pool/volleyball court/BBQ patio) outshine every other apartment complex I've ever seen.

Then I started noticing all the problems with the apartment:

- The bathtub grows mildew UNDER the caulking. Which means you can Mr. Clean and Clorox all you want, but unless you strip off part of the tub there's going to be unsightly black growth that makes your guests think you don't clean your bathroom. If I fail to receive my deposit back for this reason, I will update this review to reflect that.
- First the toilet handle broke. Twice. Then they finally fixed it and the toilet leaks. I've put in multiple service requests and it is changed to ""completed"" but the toilet. Still. Leaks.
- Construction ALWAYS. The year started with construction in the volleyball pits. They finished that and moved onto the pool. They finished that and moved onto the BBQ pits. Now they're tossing around stoves (??!? Legitimately saw stoves from my 4th floor window). All. Year. Including finals week. Including weekend mornings. I started to think of the sound of drills, clanging metal and the slamming of chain link fences as an association with ""home.""
- Due to ""construction"" they have turned off ALL water (sinks AND tub) for full days.

**This parking issue deserves its own section cus I'm an organized gal and it deserves emphasis.**
- My parking was changed 3 times due to construction. The first time they put our TANDEM parking spot into a single spot, which means that one car would have to go without parking. I came in to ask about it and the person in charge of parking said ""Oh, sorry. I'll fix that and send you an e-mail. This will only be for a week and a half and you'll have your old spot back!"" 

We were then assigned a parking spot that was 15 spots away from our original spot. They put a notice on our door that we had to move our cars by the end of the week or else we'd be towed. Okay, annoying, but still walkable. We'll deal with it. Then they left a notice on our door the next week telling us to move our car **40 SPOTS OVER** or else ""we will be forced to tow your vehicle at the owner's expense."" The new parking spot is a whole building over from our building; the old spot was right in front of our building. 

Things that aren't ""wrong"" but still unreasonable:
- Tandem parking is $40 ($20 each car). Most other apartments have free parking.
- 10 guest spots in an apartment complex that has FOUR 3+ story buildings. 10 spots. That's it. There are hundreds of people living here. Why is there no guest parking? Do y'all hate friendship? 

If ALL this happened and the management was the same as it used to be, I would give it a solid 3 star rating. Annoying stuff doesn't bother me enough to leave a 1-star review. Outlandishly bad service does.

The management used to be wonderful - even though there were still issues with the apartment, the old shift lead (I think? She always wore a skirt suit) was an incredible customer service representative. She never gave me special treatment - never decreased our rent, or gave extra amenities, or anything like that - but she was respectful, helpful and genuinely seemed to care.

**The new staff**
- The BIGGEST issue I had occurred yesterday (my birthday T_T) when I received a notice about a delinquent balance of $100 on my account that I needed to pay within 3 DAYS or I WOULD BE EVICTED. I was confused because I paid my rent on time as usual. I called in to ask and the staff member who answered told me that (this is verbatim) ""Oh, I added the charge to your account because there was a false credit on your account from last month. The false credit happened for some reason...idk why.""

Here is where I take the most issue: I called in today at 4:10 p.m. to ask about the delinquent charge. I asked why, despite the undercharging last month and me paying the LISTED rent on time, I was threatened with eviction if I didn't suddenly come up with a hundred bucks by tomorrow. He answered calmly, ""I understand that our office staff confirmed the lower rent for this month, but you have been paying $___ all year. We do need to receive the rent as soon as possible to prevent more serious action."" That does not resolve my current issue - that we confirmed with the office last month that the lower rent was correct! Why am I being threatened with eviction when this was an office error? Why am I being given 3 DAYS to pay what is effectively 1/5 of my rent? I ended the phone call feeling frustrated, with no effort on the staff member's part to be helpful beyond ""I'll talk to the accountant.""

I'm so glad I'm leaving.",2016-07-13,Katherine V.
The U-Davis,https://www.yelp.com/biz/the-u-apartments-davis,3.0,"First off, the 2 stars for the apartment being very well furnished and nice. They did a great job with the patio and the bbq pit area as well. 
This review is mainly for the front desk and also the renovation and construction going on. The construction goes on during the day time, and it's loud and annoying especially when you live right about it. Second off my housemates all pay about 45 dollars a month for tandem parking and have had their Parking spots changed 3 times within a couple weeks. We have no guest parking at the U. And for the price you pay for parking and to have them kinda just inconvenience you like that is unacceptable. Also because of the construction, water has been shut off without warning twice in the past month, and 2 more other times since I've moved in. It's a huge inconvenience because it's shut off for an entire day... I can't shower, cook, clean. I'm pretty lucky it hasn't ever shut off halfway through my shower, but I'm pretty sure it's happened to other people. They're lucky it's summer and mostly everyone's moved out. Which is probably why they don't want to mind inconveniencing those of us still here. I wonder why so few people have wanted to renew their lease.... The only helpful person from their staff is the maintenance guy. The front desk after changing employees is now very rude and unapproachable. (Except for one employee in the front (who's name I forgot to ask for)) but he was very nice and clear about parking.) there was no attitude given so he gets one star for being polite and helpful. 
In conclusion, the U is not worth the money you pay for it. The prices will be going up like it did last year.",2016-06-24,Katherine L.
The U-Davis,https://www.yelp.com/biz/the-u-apartments-davis,1.0,"Horrible place. I lived in numerous places in davis in South and North Davis, but this place is by far the worst place I experienced the most stress from. Three managers changed within 8 months, and staff members last no longer than 3-4 months max. So called ""miscommunication"" takes place too often. I have horrible experiences to share, but I heard an international student who paid $1600 as deposit when he first moved in, but now the office is telling him that he only paid $150 as his deposit. That's how they are bad at keeping residents' records (if they are not lying).

They also say free high speed internet, but it's so slow that I had to get my own internet for another $70/month. 

The U Apartments should feel lucky that residents are not coming here to talk about their frustrations, cuz then they won't have more than 1 star in average..",2016-04-21,Alex H.
The U-Davis,https://www.yelp.com/biz/the-u-apartments-davis,5.0,I've stayed in a few of these types of College/Student housing complex's and this one by far has been one of the more enjoyable experiences. I really can't compare it to other places in Davis as this is the only spot I've experience but the perks and the staff here are amazing. A very special thank you to Nia for always providing great customer service throughout my entire time here. I would definitely recommend it!,2016-07-25,Damon L.
The U-Davis,https://www.yelp.com/biz/the-u-apartments-davis,1.0,"J.A of the U,

Thanks for your reply, it shows you value your customers feedback. The overall issue is that customer service is great before you sign the lease. Once you are locked in to the lease, your team doesn't seem to care. The office staff is typically unhelpful and don't seem interested in trying to help with issues. Customer service should be most important not only to potential residents, but to your current residents. 

As far as the construction goes, it's kind of a joke. The construction started after winter break, promising to be completed before spring quarter. Then it was pushed back to before summer, the latest information I now have is September. The construction has taken away, the workout room, the pool table, the computer room, guest parking, the pool areas, and parked a ugly giant trailer in front of the clubhouse. All of these amenities were promised to me, part of the reason I signed the lease, then without an alternative they were taken away indefinitely. 

Today your team had my car towed from the apartment complex where I live! That is absurd! I pay $800 a month to have my car towed?!!! I was parked in a 6pm-6am spot, because there are no guest parking spots available. Even if I wanted to purchase a spot, none are available. Effectively there is no parking for guests, which was promised to me and is featured on your website. This is advertising to new potential residents and it is a lie. 

I have already started and will continue to influence as many people as I can to not live at the U. People are upset, you will notice when the money stops coming in. Residents will pay extra for GREAT customer service, they will avoid HORRIBLE customer service.",2015-08-02,Matthew W.
The U-Davis,https://www.yelp.com/biz/the-u-apartments-davis,1.0,I never received the $800 dollar deposit after 7+ months of waiting. Management has been absolutely no help. We moved out in August 2015 and planned to have the checks mailed four ways. The checks never came even though we were told the checks were sent. About two months later we request to have a single check cut to one person that was in the area. After that The U had no record of us even living there. Management has said they no longer deal with deposits so we had to contact the corporate company Carmel Apartments that owns The U. Carmel told us to contact Greystar. Greystar said they would put a team on it to figure this out yet they have done nothing. Really do not know what else to say but The U/Carmel Apartments stole $800 dollars from us. Up to you if you want that to happen.,2016-03-18,Joseph D.
The U-Davis,https://www.yelp.com/biz/the-u-apartments-davis,1.0,"You know what, I changed my mind. I was gracious with a 3 star because of the furniture and cleanliness. However, there is no guest parking except the few 9 to 6pm staff parking we can use after 6. But on a three day weekend the complex thinks it was okay to park more dang construction equipment in those few spots. My guests shouldn't have to park on 2nd street, because The U doesn't care about their tenants. Don't live here. There are other clean places that actually care about you.

Ps. The bike racks are only bolted, not welded. An entire rack was easily unbolted and every bike was stolen.",2016-02-12,Anna P.
The U-Davis,https://www.yelp.com/biz/the-u-apartments-davis,1.0,"I just want to say that the staff here is nice. but my complaint is regarding all the construction work and amenities that we weren't provided with. 

First of all, construction began at 7:30 AM every day, despite the fact that the apartment management workers informed me they should not begin until 8:30 AM. And the worst part, it was every single day for weeks, right next to my room's window. Imagine waking up to hammering banging noises and construction workers blasting their music every single morning. I do not pay rent to be waken up by construction noises and workers yelling outside my window. 

Second, basically EVERYTHING that we were offered during the signing process of the lease were not available for use for many months during my lease. I signed the lease thinking I will have access to the gym, tanning, and study room the whole year. But no. Construction again. and the worst part is they did not lower the rent or compensate the residents at all in any way. 
We signed the lease, and the rent we pay included all the amenities that were shown to us at the beginning. But in the middle of our lease, they simply said ""construction!"" and closed everything off to the residents. That is very unreasonable, especially since they did not compensate for these things in any way at all. Very unfair to those who pay rent. 

Third, the mold was SO GROSS. I am not sure if this was an issue everywhere, or just because of my apartment location, but we had mold EVERYWHERE. Even if i keep my window open, mold just grew all over the walls. The maintenance people tried to help us, but honestly made no difference. Extremely grossed out by the fact that nothing was done after they ""tried to fix the problem."" If I get any safety deposit taken away because of the molding, I will be EXTREMELY upset. oh, and they have lots of bugs too. gross.

Fourth, parking situation was a big fat joke. I paid so much money to park at my own apartment. Yet so many random people will park in my spot. If i total all the times I had to sit in my car for the cars in my spot to get towed, or wait for the owner to show up, I can easily say I waited at least 10 hours total. And things like this would happen sometimes at like 2 AM in the morning. I complained to the office multiple times, but they just said ""oh, get the car towed!"" It usually takes like an hour total for the tow truck to show up, and then get the car towed away. Do they really expect me to wait an entire hour every time someone parks in my spot? They need to come up with a better parking system, because seriously I paid hundreds of dollars over the months to park in a stupid spot super far from my apartment, that was ALWAYS taken by some other car. 


Overall, I was extremely unhappy with my living condition (especially the last few months). One step out of my own apartment door, and there were workers EVERYWHERE, boxes EVERYWHERE, and construction equipment just scattered all along the hall way. They would cut wood with some electric saw thing right outside our door, which was SUPER loud, and left dusty wood EVERYWHERE. There was no gym access for the longest time, construction was so loud, the mold was disgusting, the parking was terrible, and living at the U was uncomfortable.

I really hope they put in to consideration all these amenities and loud noises we had to go through, because I am going to be extremely upset if I don't get the majority of my safety deposit back. I think the apartments owe us that much.",2015-08-30,Anna K.
